EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.207  6.51    1.11    1.66    0.49    0.00    2.15  0.811
   2.992  0.457  8.62    1.19   -2.00    0.53    0.00   -1.47 1.539E+00

  10.589 26.468  6.70    1.05    1.09    0.46    0.00    1.55  0.805
   3.018  0.471  8.39    1.12   -2.68    0.49    0.00   -2.19 1.373E+00

  10.589 26.802  6.94    0.99    0.36    0.42    0.00    0.78  0.799
   3.050  0.491  8.09    1.05   -3.57    0.45    0.00   -3.12 1.180E+00

  10.589 27.151  7.19    0.93   -0.35    0.38    0.00    0.03  0.793
   3.081  0.510  7.78    0.98   -4.43    0.41    0.00   -4.02 1.005E+00

  10.589 27.583  7.45    0.88   -0.99    0.36    0.00   -0.64  0.789
   3.095  0.530  7.49    0.94   -5.20    0.39    0.00   -4.82 8.439E-01

  10.589 28.061  7.72    0.85   -1.62    0.34    0.00   -1.28  0.785
   3.101  0.549  7.21    0.90   -5.94    0.37    0.00   -5.58 7.009E-01

  10.589 28.511  7.99    0.81   -2.22    0.32    0.00   -1.90  0.784
   3.111  0.569  6.93    0.86   -6.67    0.35    0.00   -6.32 5.810E-01

  10.589 28.784  8.22    0.77   -2.89    0.31    0.00   -2.58  0.787
   3.143  0.589  6.63    0.81   -7.47    0.33    0.00   -7.13 4.912E-01

  10.589 29.031  8.45    0.74   -3.44    0.30    0.00   -3.14  0.793
   3.175  0.607  6.34    0.78   -8.14    0.32    0.00   -7.82 4.165E-01

  10.589 29.248  8.65    0.71   -3.96    0.29    0.00   -3.67  0.801
   3.203  0.624  6.09    0.75   -8.76    0.32    0.00   -8.45 3.582E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

