EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin9.inp                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.529  6.74    1.17    0.53    0.48    0.00    1.01  0.768
   3.022  0.474  8.34    1.25   -3.37    0.52    0.00   -2.85 1.598E+00

  10.589 26.886  6.99    1.10   -0.20    0.44    0.00    0.24  0.770
   3.056  0.495  8.02    1.17   -4.26    0.48    0.00   -3.79 1.348E+00

  10.589 27.265  7.26    1.03   -0.91    0.41    0.00   -0.50  0.774
   3.086  0.516  7.70    1.10   -5.14    0.44    0.00   -4.69 1.123E+00

  10.589 27.757  7.55    0.99   -1.56    0.39    0.00   -1.17  0.779
   3.097  0.537  7.39    1.05   -5.91    0.42    0.00   -5.49 9.159E-01

  10.589 28.275  7.84    0.95   -2.18    0.38    0.00   -1.80  0.786
   3.103  0.558  7.09    1.01   -6.66    0.41    0.00   -6.25 7.393E-01

  10.589 28.672  8.11    0.92   -2.82    0.37    0.00   -2.45  0.797
   3.124  0.579  6.78    0.97   -7.43    0.40    0.00   -7.03 6.043E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

