EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.212  6.51    1.11    2.10    0.49    0.00    2.59  0.811
   2.991  0.457  8.63    1.18   -1.52    0.53    0.00   -0.99 1.543E+00

  10.589 26.475  6.70    1.05    1.50    0.46    0.00    1.96  0.805
   3.017  0.472  8.39    1.12   -2.24    0.49    0.00   -1.75 1.375E+00

  10.589 26.808  6.94    0.99    0.75    0.42    0.00    1.17  0.799
   3.049  0.491  8.09    1.05   -3.15    0.45    0.00   -2.70 1.182E+00

  10.589 27.154  7.19    0.93    0.02    0.38    0.00    0.40  0.793
   3.080  0.510  7.78    0.98   -4.03    0.41    0.00   -3.62 1.008E+00

  10.589 27.583  7.45    0.88   -0.65    0.36    0.00   -0.29  0.789
   3.095  0.530  7.49    0.93   -4.83    0.38    0.00   -4.44 8.463E-01

  10.589 28.065  7.72    0.85   -1.27    0.34    0.00   -0.94  0.785
   3.101  0.549  7.21    0.89   -5.57    0.36    0.00   -5.21 7.024E-01

  10.589 28.511  7.99    0.81   -1.89    0.32    0.00   -1.57  0.784
   3.110  0.569  6.93    0.86   -6.31    0.35    0.00   -5.96 5.827E-01

  10.589 28.793  8.23    0.77   -2.53    0.31    0.00   -2.22  0.787
   3.141  0.589  6.63    0.81   -7.08    0.33    0.00   -6.75 4.924E-01

  10.589 29.044  8.45    0.74   -3.14    0.30    0.00   -2.84  0.792
   3.173  0.607  6.35    0.78   -7.81    0.32    0.00   -7.48 4.174E-01

  10.589 29.244  8.64    0.71   -3.65    0.29    0.00   -3.35  0.801
   3.202  0.623  6.10    0.75   -8.42    0.32    0.00   -8.10 3.613E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

