EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin11.inp                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.336  7.60    0.93   -0.51    0.38    0.00   -0.13  0.786
   2.997  0.534  7.52    0.98   -4.63    0.40    0.00   -4.23 7.513E-01

  10.589 28.619  7.82    0.88   -1.12    0.35    0.00   -0.77  0.784
   3.023  0.551  7.25    0.93   -5.36    0.38    0.00   -4.98 6.490E-01

  10.589 28.936  8.07    0.83   -1.78    0.33    0.00   -1.44  0.782
   3.051  0.570  6.96    0.88   -6.15    0.36    0.00   -5.79 5.488E-01

  10.589 29.254  8.32    0.80   -2.42    0.32    0.00   -2.11  0.784
   3.079  0.590  6.66    0.84   -6.93    0.34    0.00   -6.59 4.600E-01

  10.589 29.633  8.57    0.76   -3.02    0.31    0.00   -2.71  0.789
   3.095  0.610  6.37    0.81   -7.63    0.33    0.00   -7.30 3.816E-01

  10.589 30.095  8.85    0.74   -3.57    0.31    0.00   -3.27  0.797
   3.099  0.630  6.09    0.78   -8.29    0.33    0.00   -7.96 3.109E-01

  10.589 30.499  9.11    0.72   -4.13    0.31    0.00   -3.82  0.810
   3.110  0.649  5.80    0.76   -8.95    0.33    0.00   -8.62 2.539E-01

  10.589 30.770  9.35    0.69   -4.70    0.31    0.00   -4.39  0.831
   3.137  0.669  5.51    0.73   -9.63    0.33    0.00   -9.30 2.097E-01

  10.589 30.982  9.58    0.67   -5.26    0.32    0.00   -4.94  0.859
   3.170  0.688  5.23    0.71  -10.30    0.34    0.00   -9.96 1.740E-01

  10.589 31.196  9.79    0.65   -5.76    0.33    0.00   -5.43  0.893
   3.195  0.705  4.97    0.69  -10.89    0.36    0.00  -10.54 1.459E-01

  10.589 31.496 10.01    0.64   -6.24    0.36    0.00   -5.89  0.935
   3.210  0.723  4.71    0.68  -11.46    0.38    0.00  -11.08 1.199E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

