EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7.inp                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 23.923  5.42    1.60    5.69    0.81    0.00    6.51  0.838
   2.979  0.380  9.74    1.73    2.87    0.87    0.00    3.75 3.652E+00

  10.589 24.188  5.59    1.49    4.97    0.73    0.00    5.71  0.836
   3.009  0.393  9.51    1.61    2.00    0.79    0.00    2.79 3.320E+00

  10.589 24.528  5.82    1.37    4.10    0.65    0.00    4.75  0.833
   3.044  0.411  9.22    1.48    0.94    0.71    0.00    1.65 2.930E+00

  10.589 24.901  6.06    1.26    3.19    0.58    0.00    3.77  0.830
   3.080  0.430  8.91    1.35   -0.17    0.63    0.00    0.46 2.548E+00

  10.589 25.372  6.32    1.17    2.38    0.52    0.00    2.91  0.828
   3.096  0.450  8.62    1.25   -1.15    0.57    0.00   -0.58 2.177E+00

  10.589 25.913  6.60    1.10    1.62    0.48    0.00    2.10  0.824
   3.100  0.470  8.33    1.17   -2.06    0.52    0.00   -1.54 1.833E+00

  10.589 26.399  6.87    1.03    0.89    0.44    0.00    1.33  0.822
   3.109  0.489  8.05    1.10   -2.95    0.48    0.00   -2.47 1.552E+00

  10.589 26.720  7.11    0.96    0.12    0.40    0.00    0.52  0.822
   3.142  0.508  7.75    1.02   -3.88    0.44    0.00   -3.44 1.339E+00

  10.589 26.944  7.31    0.90   -0.57    0.37    0.00   -0.20  0.823
   3.181  0.526  7.47    0.95   -4.73    0.41    0.00   -4.32 1.178E+00

  10.589 27.266  7.53    0.85   -1.18    0.35    0.00   -0.83  0.824
   3.199  0.543  7.22    0.90   -5.46    0.38    0.00   -5.08 1.022E+00

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

