EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin7.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 23.934  5.42    1.38    5.13    0.71    0.01    5.85  0.843
   2.978  0.380  9.74    1.49    2.11    0.77    0.01    2.89 3.103E+00

  10.589 24.193  5.59    1.30    4.44    0.65    0.00    5.09  0.835
   3.007  0.393  9.51    1.40    1.28    0.70    0.00    1.98 2.811E+00

  10.589 24.536  5.82    1.21    3.59    0.58    0.00    4.17  0.830
   3.043  0.411  9.22    1.29    0.26    0.63    0.00    0.88 2.462E+00

  10.589 24.905  6.06    1.12    2.71    0.52    0.00    3.23  0.822
   3.079  0.430  8.91    1.20   -0.81    0.56    0.00   -0.25 2.127E+00

  10.589 25.373  6.32    1.05    1.93    0.47    0.00    2.40  0.815
   3.095  0.450  8.62    1.12   -1.75    0.51    0.00   -1.24 1.804E+00

  10.589 25.920  6.60    1.00    1.19    0.43    0.00    1.63  0.808
   3.099  0.470  8.34    1.06   -2.63    0.47    0.00   -2.16 1.506E+00

  10.589 26.398  6.87    0.95    0.49    0.40    0.00    0.89  0.800
   3.109  0.489  8.05    1.01   -3.48    0.43    0.00   -3.05 1.266E+00

  10.589 26.716  7.11    0.89   -0.26    0.37    0.00    0.11  0.794
   3.143  0.508  7.75    0.95   -4.38    0.40    0.00   -3.98 1.084E+00

  10.589 26.949  7.31    0.84   -0.93    0.34    0.00   -0.59  0.791
   3.181  0.526  7.47    0.89   -5.19    0.37    0.00   -4.83 9.441E-01

  10.589 27.259  7.53    0.81   -1.50    0.32    0.00   -1.18  0.788
   3.200  0.543  7.22    0.85   -5.88    0.35    0.00   -5.53 8.169E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

