EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin11.inp                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.336  7.60    0.92   -0.69    0.37    0.00   -0.32  0.786
   2.997  0.534  7.52    0.98   -4.85    0.40    0.00   -4.45 7.542E-01

  10.589 28.619  7.82    0.88   -1.32    0.35    0.00   -0.96  0.784
   3.023  0.551  7.25    0.93   -5.60    0.38    0.00   -5.22 6.507E-01

  10.589 28.936  8.07    0.83   -1.98    0.33    0.00   -1.65  0.782
   3.051  0.570  6.96    0.88   -6.40    0.36    0.00   -6.04 5.494E-01

  10.589 29.254  8.32    0.80   -2.64    0.32    0.00   -2.32  0.784
   3.079  0.590  6.66    0.84   -7.19    0.34    0.00   -6.85 4.595E-01

  10.589 29.633  8.57    0.77   -3.25    0.31    0.00   -2.93  0.789
   3.095  0.610  6.37    0.81   -7.91    0.33    0.00   -7.58 3.802E-01

  10.589 30.095  8.85    0.75   -3.81    0.31    0.00   -3.50  0.797
   3.099  0.630  6.09    0.79   -8.58    0.33    0.00   -8.25 3.087E-01

  10.589 30.499  9.11    0.73   -4.37    0.31    0.00   -4.06  0.810
   3.110  0.649  5.80    0.76   -9.25    0.33    0.00   -8.92 2.512E-01

  10.589 30.770  9.35    0.70   -4.96    0.31    0.00   -4.64  0.831
   3.137  0.669  5.51    0.74   -9.94    0.34    0.00   -9.61 2.066E-01

  10.589 30.982  9.58    0.68   -5.53    0.33    0.00   -5.20  0.859
   3.170  0.688  5.23    0.72  -10.63    0.35    0.00  -10.28 1.707E-01

  10.589 31.196  9.79    0.67   -6.03    0.34    0.00   -5.69  0.893
   3.195  0.705  4.97    0.71  -11.23    0.36    0.00  -10.86 1.425E-01

  10.589 31.496 10.01    0.66   -6.52    0.37    0.00   -6.16  0.935
   3.210  0.723  4.71    0.70  -11.80    0.39    0.00  -11.41 1.165E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

