EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin11.inp                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.344  7.61    0.98   -0.23    0.41    0.00    0.18  0.818
   2.997  0.534  7.52    1.04   -4.25    0.44    0.00   -3.81 9.360E-01

  10.589 28.618  7.82    0.92   -0.85    0.38    0.00   -0.47  0.820
   3.023  0.551  7.26    0.98   -5.01    0.42    0.00   -4.59 8.175E-01

  10.589 28.939  8.07    0.86   -1.55    0.36    0.00   -1.18  0.823
   3.051  0.570  6.96    0.91   -5.85    0.39    0.00   -5.46 6.956E-01

  10.589 29.247  8.32    0.82   -2.24    0.34    0.00   -1.89  0.830
   3.080  0.590  6.66    0.86   -6.68    0.37    0.00   -6.31 5.881E-01

  10.589 29.632  8.57    0.78   -2.87    0.33    0.00   -2.54  0.840
   3.096  0.610  6.37    0.82   -7.44    0.36    0.00   -7.08 4.906E-01

  10.589 30.084  8.85    0.75   -3.47    0.33    0.00   -3.14  0.852
   3.101  0.630  6.09    0.79   -8.15    0.36    0.00   -7.80 4.029E-01

  10.589 30.506  9.11    0.72   -4.06    0.33    0.00   -3.73  0.871
   3.109  0.649  5.80    0.76   -8.86    0.35    0.00   -8.50 3.298E-01

  10.589 30.762  9.35    0.69   -4.67    0.33    0.00   -4.34  0.897
   3.138  0.669  5.51    0.73   -9.59    0.36    0.00   -9.23 2.747E-01

  10.589 30.988  9.58    0.66   -5.27    0.34    0.00   -4.93  0.932
   3.169  0.688  5.23    0.70  -10.31    0.37    0.00   -9.94 2.284E-01

  10.589 31.202  9.79    0.64   -5.80    0.36    0.00   -5.45  0.973
   3.195  0.705  4.97    0.68  -10.95    0.38    0.00  -10.57 1.916E-01

  10.589 31.512 10.01    0.63   -6.29    0.38    0.00   -5.91  1.020
   3.206  0.723  4.72    0.67  -11.53    0.41    0.00  -11.12 1.586E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

