EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin11.inp                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.336  7.60    0.90   -1.15    0.36    0.00   -0.78  0.786
   2.997  0.534  7.52    0.95   -5.32    0.39    0.00   -4.93 7.725E-01

  10.589 28.619  7.82    0.86   -1.73    0.34    0.00   -1.39  0.784
   3.023  0.551  7.25    0.91   -6.03    0.37    0.00   -5.66 6.680E-01

  10.589 28.936  8.07    0.81   -2.37    0.32    0.00   -2.04  0.782
   3.051  0.570  6.96    0.85   -6.79    0.35    0.00   -6.45 5.656E-01

  10.589 29.254  8.32    0.77   -3.00    0.31    0.00   -2.69  0.784
   3.079  0.590  6.66    0.81   -7.55    0.33    0.00   -7.22 4.746E-01

  10.589 29.633  8.57    0.74   -3.58    0.30    0.00   -3.28  0.789
   3.095  0.610  6.37    0.78   -8.25    0.32    0.00   -7.93 3.942E-01

  10.589 30.095  8.85    0.72   -4.14    0.30    0.00   -3.84  0.797
   3.099  0.630  6.09    0.75   -8.92    0.32    0.00   -8.60 3.217E-01

  10.589 30.499  9.11    0.69   -4.71    0.30    0.00   -4.41  0.810
   3.110  0.649  5.80    0.73   -9.60    0.32    0.00   -9.28 2.633E-01

  10.589 30.770  9.35    0.67   -5.32    0.30    0.00   -5.02  0.831
   3.137  0.669  5.51    0.70  -10.33    0.32    0.00  -10.01 2.179E-01

  10.589 30.982  9.58    0.64   -5.95    0.31    0.00   -5.64  0.859
   3.170  0.688  5.23    0.68  -11.08    0.33    0.00  -10.75 1.811E-01

  10.589 31.196  9.79    0.63   -6.52    0.32    0.00   -6.20  0.893
   3.195  0.705  4.97    0.66  -11.77    0.34    0.00  -11.43 1.520E-01

  10.589 31.496 10.01    0.62   -7.12    0.34    0.00   -6.78  0.935
   3.210  0.723  4.71    0.65  -12.48    0.36    0.00  -12.12 1.251E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

