EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.212  6.51    1.11    1.66    0.49    0.00    2.15  0.811
   2.991  0.457  8.63    1.18   -1.99    0.53    0.00   -1.46 1.545E+00

  10.589 26.475  6.70    1.05    1.08    0.46    0.00    1.54  0.805
   3.017  0.472  8.39    1.12   -2.69    0.49    0.00   -2.20 1.379E+00

  10.589 26.808  6.94    0.98    0.35    0.41    0.00    0.77  0.799
   3.049  0.491  8.09    1.04   -3.57    0.45    0.00   -3.12 1.187E+00

  10.589 27.154  7.19    0.92   -0.36    0.38    0.00    0.02  0.793
   3.080  0.510  7.78    0.98   -4.43    0.41    0.00   -4.02 1.012E+00

  10.589 27.583  7.45    0.88   -1.00    0.36    0.00   -0.65  0.789
   3.095  0.530  7.49    0.93   -5.21    0.38    0.00   -4.83 8.510E-01

  10.589 28.065  7.72    0.84   -1.63    0.34    0.00   -1.29  0.785
   3.101  0.549  7.21    0.89   -5.96    0.36    0.00   -5.59 7.068E-01

  10.589 28.511  7.99    0.80   -2.24    0.32    0.00   -1.91  0.784
   3.110  0.569  6.93    0.85   -6.68    0.35    0.00   -6.34 5.867E-01

  10.589 28.793  8.23    0.77   -2.86    0.31    0.00   -2.55  0.787
   3.141  0.589  6.63    0.81   -7.43    0.33    0.00   -7.10 4.960E-01

  10.589 29.044  8.45    0.73   -3.47    0.30    0.00   -3.17  0.792
   3.173  0.607  6.35    0.77   -8.17    0.32    0.00   -7.85 4.206E-01

  10.589 29.244  8.64    0.70   -3.98    0.29    0.00   -3.69  0.801
   3.202  0.623  6.10    0.74   -8.79    0.31    0.00   -8.48 3.641E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

