EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
4He_18.inp                                                              
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  4);   avgA =   4.000; amuM=  4.003; avgM=  3.728
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   5.766 18.000  1.95    1.56   -3.85    1.38    0.00   -2.48  0.947
   3.456  0.450  3.26    1.87   -9.16    1.64    0.00   -7.52 8.750E+01

   5.766 18.000  2.01    1.52   -5.51    1.51    0.00   -4.00  1.056
   3.554  0.483  3.03    1.84  -11.26    1.79    0.00   -9.47 8.488E+01

   5.766 18.000  2.06    1.51   -9.34    1.74    0.00   -7.60  1.212
   3.644  0.517  2.80    1.85  -16.49    2.03    0.00  -14.46 8.248E+01

   5.766 18.000  2.10    1.98   -7.87    2.69    0.00   -5.18  1.418
   3.727  0.550  2.60    2.45  -14.30    3.07    0.00  -11.23 6.192E+01

   5.766 18.000  2.15    2.10   -8.80    3.39    0.00   -5.41  1.672
   3.804  0.583  2.41    2.63  -15.13    3.78    0.00  -11.35 5.842E+01

   5.766 18.000  2.19    1.86  -15.43    3.55    0.00  -11.88  1.967
   3.876  0.617  2.24    2.35  -24.02    3.86    0.00  -20.16 6.732E+01

   5.766 18.000  2.22    2.98  -15.70    6.66    0.00   -9.03  2.287
   3.942  0.650  2.08    3.81  -23.59    7.08    0.00  -16.51 4.340E+01

   5.766 18.000  2.26    3.92  -17.44   10.04    0.00   -7.41  2.611
   4.004  0.683  1.93    5.06  -24.66   10.43    0.00  -14.23 3.479E+01

   5.766 18.000  2.29    4.69  -20.58   13.45    0.00   -7.12  2.911
   4.061  0.717  1.79    6.11  -27.52   13.70    0.00  -13.82 3.113E+01

   5.766 18.000  2.32    5.19  -24.01   16.19    0.00   -7.82  3.153
   4.115  0.750  1.65    6.82  -30.76   16.18    0.00  -14.58 3.070E+01

   5.766 18.000  2.35    4.74  -28.76   15.50    0.00  -13.27  3.299
   4.166  0.783  1.53    6.27  -36.91   15.22    0.00  -21.69 3.756E+01

   5.766 18.000  2.38    6.30  -38.13   20.69    0.00  -17.44  3.309
   4.214  0.817  1.41    8.38  -47.98   20.01    0.00  -27.97 3.244E+01

   5.766 18.000  2.40   15.04  -59.77   47.05    0.00  -12.72  3.149
   4.259  0.850  1.30   20.11  -66.62   44.83    0.00  -21.79 1.615E+01

   5.766 18.000  2.43   27.41  -83.47   75.98    0.00   -7.48  2.789
   4.301  0.883  1.20   36.80  -85.83   71.40    0.00  -14.43 1.108E+01

   5.766 18.000  2.45   36.68  -89.30   80.80    0.00   -8.51  2.217
   4.341  0.917  1.10   49.44  -90.44   74.92    0.00  -15.53 1.125E+01

   5.766 18.000  2.47   55.75  -91.09   80.20    0.00  -10.89  1.452
   4.379  0.950  1.01   75.71  -92.13   73.42    0.00  -18.71 1.184E+01

   5.766 18.000  2.49  152.62  -92.80   79.86    0.00  -12.94  1.000
   4.415  0.983  0.92  219.72  -93.70   72.24    0.00  -21.46 1.192E+01

   5.766 18.000  2.51    0.00  -94.25   79.60    0.00  -14.66  1.000
   4.450  1.017  0.84    0.00  -95.01   71.22    0.00  -23.79 1.140E+01

   5.766 18.000  2.53    0.00  -95.39   79.37    0.00  -16.01  1.000
   4.482  1.050  0.76    0.00  -96.03   70.36    0.00  -25.66 1.032E+01

   5.766 18.000  2.55    0.00  -96.26   79.25    0.00  -17.01  1.000
   4.513  1.083  0.68    0.00  -96.80   69.74    0.00  -27.06 8.851E+00

   5.766 18.000  2.56    0.00  -96.94   79.27    0.00  -17.67  1.000
   4.543  1.117  0.61    0.00  -97.40   69.39    0.00  -28.00 7.259E+00

   5.766 18.000  2.58    0.00  -97.50   79.43    0.00  -18.07  1.000
   4.570  1.150  0.54    0.00  -97.88   69.31    0.00  -28.57 5.795E+00

   5.766 18.000  2.59    0.00  -97.98   79.69    0.00  -18.29  1.000
   4.597  1.183  0.48    0.00  -98.29   69.41    0.00  -28.88 4.561E+00

   5.766 18.000  2.61    0.00  -98.39   79.99    0.00  -18.40  1.000
   4.623  1.217  0.42    0.00  -98.65   69.60    0.00  -29.05 3.588E+00

   5.766 18.000  2.62    0.00  -98.75   80.26    0.00  -18.49  1.000
   4.648  1.250  0.36    0.00  -98.95   69.79    0.00  -29.16 2.848E+00

   5.766 18.000  2.64    0.00  -99.05   80.44    0.00  -18.61  1.000
   4.671  1.283  0.30    0.00  -99.21   69.89    0.00  -29.32 2.289E+00

   5.766 18.000  2.65    0.00  -99.30   80.48    0.00  -18.82  1.000
   4.694  1.317  0.24    0.00  -99.42   69.84    0.00  -29.58 1.866E+00

   5.766 18.000  2.66    0.00  -99.49   80.32    0.00  -19.18  1.000
   4.715  1.350  0.19    0.00  -99.58   69.54    0.00  -30.04 1.544E+00

   5.766 18.000  2.67    0.00  -99.64   79.88    0.00  -19.76  1.000
   4.736  1.383  0.14    0.00  -99.70   68.89    0.00  -30.81 1.298E+00

   5.766 18.000  2.68    0.00  -99.75   78.99    0.00  -20.76  1.000
   4.756  1.417  0.09    0.00  -99.80   67.68    0.00  -32.12 1.104E+00

   5.766 18.000  2.70    0.00  -99.83   77.19    0.00  -22.64  1.000
   4.775  1.450  0.04    0.00  -99.86   65.26    0.00  -34.60 9.503E-01

   5.766 18.000  2.71    0.00 -100.00   80.05    0.00  -19.95  1.000
   4.794  1.483 -0.00    0.00 -100.00   68.79    0.00  -31.21 4.029E-01

   5.766 18.000  2.72    0.00 -100.00   80.05    0.00  -19.95  1.000
   4.812  1.517 -0.04    0.00 -100.00   68.80    0.00  -31.20 3.236E-01

   5.766 18.000  2.73    0.00 -100.00   80.05    0.00  -19.95  1.000
   4.829  1.550 -0.09    0.00 -100.00   68.81    0.00  -31.19 2.621E-01

   5.766 18.000  2.73    0.00 -100.00   80.05    0.00  -19.95  1.000
   4.845  1.583 -0.13    0.00 -100.00   68.82    0.00  -31.18 2.140E-01

   5.766 18.000  2.74    0.00 -100.00   80.06    0.00  -19.94  1.000
   4.861  1.617 -0.17    0.00 -100.00   68.82    0.00  -31.18 1.762E-01

   5.766 18.000  2.75    0.00 -100.00   80.06    0.00  -19.94  1.000
   4.877  1.650 -0.20    0.00 -100.00   68.83    0.00  -31.17 1.463E-01

   5.766 18.000  2.76    0.00 -100.00   80.06    0.00  -19.94  1.000
   4.892  1.683 -0.24    0.00 -100.00   68.83    0.00  -31.17 1.221E-01

   5.766 18.000  2.77    0.00 -100.00   80.06    0.00  -19.94  1.000
   4.906  1.717 -0.28    0.00 -100.00   68.84    0.00  -31.16 1.028E-01

   5.766 18.000  2.78    0.00 -100.00   80.06    0.00  -19.94  1.000
