EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
3He_18.inp                                                              
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   5.766 18.000  1.95    1.70   -3.66    1.52    0.00   -2.13  0.962
   3.456  0.450  3.26    2.03   -8.90    1.82    0.00   -7.08 6.959E+01

   5.766 18.000  2.01    1.64   -5.36    1.59    0.00   -3.78  1.034
   3.554  0.483  3.03    1.98  -11.06    1.90    0.00   -9.16 6.843E+01

   5.766 18.000  2.06    1.60   -9.56    1.72    0.00   -7.83  1.137
   3.644  0.517  2.80    1.95  -16.85    2.05    0.00  -14.81 6.743E+01

   5.766 18.000  2.10    2.15   -7.49    2.63    0.00   -4.86  1.274
   3.727  0.550  2.60    2.66  -13.91    3.08    0.00  -10.82 4.913E+01

   5.766 18.000  2.15    2.27   -8.18    3.17    0.00   -5.01  1.448
   3.804  0.583  2.41    2.84  -14.47    3.66    0.00  -10.81 4.662E+01

   5.766 18.000  2.19    1.95  -15.27    3.14    0.00  -12.13  1.660
   3.876  0.617  2.24    2.46  -24.06    3.55    0.00  -20.51 5.528E+01

   5.766 18.000  2.22    3.25  -14.81    6.04    0.00   -8.77  1.903
   3.942  0.650  2.08    4.16  -22.90    6.69    0.00  -16.21 3.423E+01

   5.766 18.000  2.26    4.35  -16.00    9.27    0.00   -6.73  2.173
   4.004  0.683  1.93    5.61  -23.41   10.04    0.00  -13.37 2.695E+01

   5.766 18.000  2.29    5.26  -18.84   12.75    0.00   -6.09  2.462
   4.061  0.717  1.79    6.84  -25.99   13.51    0.00  -12.48 2.385E+01

   5.766 18.000  2.32    5.85  -22.40   15.92    0.00   -6.47  2.752
   4.115  0.750  1.65    7.68  -29.33   16.51    0.00  -12.81 2.339E+01

   5.766 18.000  2.35    5.32  -27.90   15.91    0.00  -11.99  3.021
   4.166  0.783  1.53    7.03  -36.15   16.16    0.00  -19.99 2.873E+01

   5.766 18.000  2.38    6.96  -38.01   22.32    0.00  -15.69  3.231
   4.214  0.817  1.41    9.26  -47.87   22.21    0.00  -25.66 2.518E+01

   5.766 18.000  2.40   15.81  -61.53   52.29    0.00   -9.24  3.328
   4.259  0.850  1.30   21.14  -68.10   50.99    0.00  -17.11 1.317E+01

   5.766 18.000  2.43   25.60  -86.22   82.31    0.00   -3.91  3.234
   4.301  0.883  1.20   34.37  -88.21   78.68    0.00   -9.53 1.017E+01

   5.766 18.000  2.45   30.28  -92.27   85.73    0.00   -6.54  2.849
   4.341  0.917  1.10   40.82  -93.09   80.34    0.00  -12.76 1.168E+01

   5.766 18.000  2.47   40.83  -94.29   83.83    0.00  -10.45  2.072
   4.379  0.950  1.01   55.44  -94.95   76.99    0.00  -17.96 1.385E+01

   5.766 18.000  2.49  100.04  -95.86   81.86    0.00  -14.00  1.000
   4.415  0.983  0.92  144.03  -96.38   73.65    0.00  -22.74 1.557E+01

   5.766 18.000  2.51    0.00  -96.91   79.81    0.00  -17.09  1.000
   4.450  1.017  0.84    0.00  -97.32   70.33    0.00  -26.98 1.590E+01

   5.766 18.000  2.53    0.00  -97.44   78.03    0.00  -19.41  1.000
   4.482  1.050  0.76    0.00  -97.80   67.49    0.00  -30.30 1.397E+01

   5.766 18.000  2.55    0.00  -97.59   76.74    0.00  -20.86  1.000
   4.513  1.083  0.68    0.00  -97.94   65.48    0.00  -32.46 1.033E+01

   5.766 18.000  2.56    0.00  -97.52   75.95    0.00  -21.56  1.000
   4.543  1.117  0.61    0.00  -97.88   64.32    0.00  -33.56 6.703E+00

   5.766 18.000  2.58    0.00  -97.36   75.56    0.00  -21.80  1.000
   4.570  1.150  0.54    0.00  -97.76   63.80    0.00  -33.96 4.116E+00

   5.766 18.000  2.59    0.00  -97.23   75.42    0.00  -21.81  1.000
   4.597  1.183  0.48    0.00  -97.66   63.67    0.00  -33.99 2.503E+00

   5.766 18.000  2.61    0.00  -97.21   75.49    0.00  -21.72  1.000
   4.623  1.217  0.42    0.00  -97.66   63.80    0.00  -33.86 1.553E+00

   5.766 18.000  2.62    0.00  -97.32   75.71    0.00  -21.60  1.000
   4.648  1.250  0.36    0.00  -97.75   64.07    0.00  -33.68 9.956E-01

   5.766 18.000  2.64    0.00  -97.53   76.02    0.00  -21.51  1.000
   4.671  1.283  0.30    0.00  -97.94   64.41    0.00  -33.53 6.592E-01

   5.766 18.000  2.65    0.00  -97.82   76.34    0.00  -21.48  1.000
   4.694  1.317  0.24    0.00  -98.18   64.72    0.00  -33.46 4.503E-01

   5.766 18.000  2.66    0.00  -98.14   76.58    0.00  -21.57  1.000
   4.715  1.350  0.19    0.00  -98.46   64.91    0.00  -33.55 3.168E-01

   5.766 18.000  2.67    0.00  -98.47   76.62    0.00  -21.85  1.000
   4.736  1.383  0.14    0.00  -98.74   64.83    0.00  -33.90 2.296E-01

   5.766 18.000  2.68    0.00  -98.78   76.29    0.00  -22.49  1.000
   4.756  1.417  0.09    0.00  -99.00   64.26    0.00  -34.74 1.698E-01

   5.766 18.000  2.70    0.00  -99.06   75.08    0.00  -23.98  1.000
   4.775  1.450  0.04    0.00  -99.25   62.54    0.00  -36.70 1.286E-01

   5.766 18.000  2.71    0.00 -100.00   77.91    0.00  -22.09  1.000
   4.794  1.483 -0.00    0.00 -100.00   65.64    0.00  -34.36 4.808E-02

   5.766 18.000  2.72    0.00 -100.00   77.93    0.00  -22.07  1.000
   4.812  1.517 -0.04    0.00 -100.00   65.69    0.00  -34.31 3.456E-02

   5.766 18.000  2.73    0.00 -100.00   77.96    0.00  -22.04  1.000
   4.829  1.550 -0.09    0.00 -100.00   65.72    0.00  -34.28 2.519E-02

   5.766 18.000  2.73    0.00 -100.00   77.97    0.00  -22.03  1.000
   4.845  1.583 -0.13    0.00 -100.00   65.75    0.00  -34.25 1.862E-02

   5.766 18.000  2.74    0.00 -100.00   77.99    0.00  -22.01  1.000
   4.861  1.617 -0.17    0.00 -100.00   65.78    0.00  -34.22 1.394E-02

   5.766 18.000  2.75    0.00 -100.00   78.00    0.00  -22.00  1.000
   4.877  1.650 -0.20    0.00 -100.00   65.80    0.00  -34.20 1.057E-02

   5.766 18.000  2.76    0.00 -100.00   78.01    0.00  -21.99  1.000
   4.892  1.683 -0.24    0.00 -100.00   65.82    0.00  -34.18 8.091E-03

   5.766 18.000  2.77    0.00 -100.00   78.02    0.00  -21.98  1.000
   4.906  1.717 -0.28    0.00 -100.00   65.83    0.00  -34.17 6.268E-03

   5.766 18.000  2.78    0.00 -100.00   78.02    0.00  -21.98  1.000
