EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin7.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 23.931  5.42    1.37    2.41    0.71    0.01    3.12  0.843
   2.978  0.380  9.74    1.48   -0.85    0.76    0.01   -0.08 3.128E+00

  10.589 24.189  5.59    1.29    1.89    0.64    0.00    2.54  0.835
   3.008  0.393  9.51    1.39   -1.50    0.69    0.00   -0.80 2.833E+00

  10.589 24.537  5.82    1.20    1.24    0.58    0.00    1.81  0.830
   3.043  0.411  9.22    1.29   -2.31    0.62    0.00   -1.68 2.480E+00

  10.589 24.903  6.06    1.11    0.54    0.51    0.00    1.06  0.822
   3.079  0.430  8.91    1.19   -3.16    0.55    0.00   -2.61 2.144E+00

  10.589 25.371  6.32    1.04   -0.10    0.47    0.00    0.37  0.815
   3.096  0.450  8.62    1.11   -3.95    0.50    0.00   -3.44 1.819E+00

  10.589 25.916  6.60    0.99   -0.70    0.43    0.00   -0.27  0.808
   3.099  0.470  8.34    1.05   -4.69    0.46    0.00   -4.22 1.520E+00

  10.589 26.396  6.86    0.94   -1.31    0.40    0.00   -0.91  0.800
   3.109  0.489  8.05    1.00   -5.43    0.43    0.00   -5.00 1.280E+00

  10.589 26.709  7.10    0.88   -1.96    0.36    0.00   -1.60  0.794
   3.144  0.508  7.75    0.94   -6.23    0.39    0.00   -5.83 1.097E+00

  10.589 26.942  7.31    0.83   -2.56    0.34    0.00   -2.22  0.791
   3.182  0.526  7.47    0.88   -6.96    0.36    0.00   -6.60 9.564E-01

  10.589 27.253  7.52    0.80   -3.09    0.32    0.00   -2.76  0.788
   3.200  0.543  7.22    0.84   -7.60    0.35    0.00   -7.25 8.283E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

