EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
3He_50.inp                                                              
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   5.766 50.000  3.27   13.05   14.04   12.05    0.04   26.12  0.771
   0.793  0.350  6.95   15.43   13.45   13.36    0.04   26.85 2.353E+00

   5.766 50.000  3.53   10.50   11.65    9.47    0.02   21.14  0.786
   0.857  0.383  6.56   12.31   10.58   10.48    0.02   21.08 2.015E+00

   5.766 50.000  3.79    8.55    9.47    7.52    0.01   17.00  0.797
   0.920  0.417  6.19    9.94    7.97    8.30    0.01   16.28 1.716E+00

   5.766 50.000  4.04    7.06    7.49    6.04    0.00   13.54  0.806
   0.981  0.450  5.82    8.15    5.59    6.65    0.01   12.25 1.453E+00

   5.766 50.000  4.29    5.90    5.71    4.92    0.00   10.63  0.814
   1.040  0.483  5.46    6.77    3.40    5.41    0.00    8.81 1.220E+00

   5.766 50.000  4.53    5.01    3.98    4.07    0.00    8.05  0.820
   1.099  0.517  5.11    5.71    1.37    4.47    0.00    5.84 1.014E+00

   5.766 50.000  4.76    4.32    2.41    3.44    0.00    5.86  0.827
   1.155  0.550  4.77    4.89   -0.52    3.78    0.00    3.26 8.354E-01

   5.766 50.000  4.99    3.79    0.96    2.99    0.00    3.95  0.837
   1.210  0.583  4.44    4.27   -2.28    3.27    0.00    0.99 6.796E-01

   5.766 50.000  5.21    3.38   -0.41    2.68    0.00    2.27  0.854
   1.265  0.617  4.12    3.80   -3.92    2.92    0.00   -0.99 5.455E-01

   5.766 50.000  5.43    3.07   -1.77    2.49    0.00    0.72  0.882
   1.317  0.650  3.80    3.44   -5.56    2.71    0.00   -2.85 4.333E-01

   5.766 50.000  5.64    2.88   -2.96    2.45    0.00   -0.51  0.930
   1.369  0.683  3.49    3.22   -6.98    2.65    0.00   -4.32 3.371E-01

   5.766 50.000  5.85    2.74   -3.88    2.53    0.00   -1.35  1.006
   1.419  0.717  3.19    3.06   -8.00    2.72    0.00   -5.28 2.611E-01

   5.766 50.000  6.05    2.45   -7.50    2.55    0.00   -4.95  1.124
   1.468  0.750  2.90    2.74  -12.39    2.72    0.00   -9.66 2.187E-01

   5.766 50.000  6.25    2.80   -7.61    3.40    0.00   -4.21  1.297
   1.516  0.783  2.61    3.14  -12.36    3.59    0.00   -8.77 1.472E-01

   5.766 50.000  6.44    2.62  -11.33    3.83    0.00   -7.49  1.534
   1.563  0.817  2.33    2.97  -16.61    3.99    0.00  -12.62 1.248E-01

   5.766 50.000  6.63    3.63  -14.51    6.44    0.00   -8.07  1.826
   1.609  0.850  2.05    4.16  -20.15    6.59    0.00  -13.56 7.513E-02

   5.766 50.000  6.81    4.89  -19.18   10.20    0.00   -8.98  2.115
   1.654  0.883  1.78    5.68  -24.88   10.27    0.00  -14.61 5.017E-02

