EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin11.inp                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=122

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.344  7.61    0.98   -0.55    0.41    0.00   -0.15  0.818
   2.997  0.534  7.52    1.03   -4.87    0.43    0.00   -4.44 9.353E-01

  10.589 28.618  7.82    0.92   -1.17    0.38    0.00   -0.79  0.820
   3.023  0.551  7.26    0.97   -5.62    0.41    0.00   -5.21 8.168E-01

  10.589 28.939  8.07    0.86   -1.84    0.36    0.00   -1.48  0.823
   3.051  0.570  6.96    0.90   -6.42    0.38    0.00   -6.04 6.948E-01

  10.589 29.247  8.32    0.82   -2.51    0.34    0.00   -2.17  0.830
   3.080  0.590  6.66    0.85   -7.23    0.36    0.00   -6.87 5.873E-01

  10.589 29.632  8.57    0.78   -3.13    0.33    0.00   -2.80  0.840
   3.096  0.610  6.37    0.81   -7.97    0.35    0.00   -7.62 4.898E-01

  10.589 30.084  8.85    0.75   -3.72    0.33    0.00   -3.39  0.852
   3.101  0.630  6.09    0.78   -8.67    0.35    0.00   -8.32 4.021E-01

  10.589 30.506  9.11    0.72   -4.30    0.33    0.00   -3.97  0.871
   3.109  0.649  5.80    0.75   -9.36    0.35    0.00   -9.01 3.291E-01

  10.589 30.762  9.35    0.69   -4.91    0.33    0.00   -4.57  0.897
   3.138  0.669  5.51    0.72  -10.08    0.35    0.00   -9.73 2.740E-01

  10.589 30.988  9.58    0.66   -5.50    0.34    0.00   -5.15  0.932
   3.169  0.688  5.23    0.69  -10.79    0.36    0.00  -10.43 2.277E-01

  10.589 31.202  9.79    0.64   -6.02    0.36    0.00   -5.67  0.973
   3.195  0.705  4.97    0.68  -11.42    0.38    0.00  -11.04 1.909E-01

  10.589 31.512 10.01    0.63   -6.51    0.38    0.00   -6.13  1.020
   3.206  0.723  4.72    0.67  -11.99    0.40    0.00  -11.59 1.580E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

