EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin11.inp                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.344  7.61    0.93   -0.46    0.39    0.00   -0.07  0.818
   2.997  0.534  7.52    0.98   -4.50    0.42    0.00   -4.08 9.874E-01

  10.589 28.618  7.82    0.87   -1.08    0.36    0.00   -0.71  0.820
   3.023  0.551  7.26    0.93   -5.25    0.39    0.00   -4.85 8.632E-01

  10.589 28.939  8.07    0.82   -1.73    0.34    0.00   -1.39  0.823
   3.051  0.570  6.96    0.86   -6.04    0.37    0.00   -5.67 7.356E-01

  10.589 29.247  8.32    0.77   -2.41    0.32    0.00   -2.09  0.830
   3.080  0.590  6.66    0.81   -6.87    0.35    0.00   -6.52 6.233E-01

  10.589 29.632  8.57    0.73   -3.05    0.31    0.00   -2.74  0.840
   3.096  0.610  6.37    0.77   -7.64    0.34    0.00   -7.30 5.214E-01

  10.589 30.084  8.85    0.70   -3.67    0.31    0.00   -3.36  0.852
   3.101  0.630  6.09    0.74   -8.38    0.33    0.00   -8.04 4.296E-01

  10.589 30.506  9.11    0.67   -4.29    0.31    0.00   -3.99  0.871
   3.109  0.649  5.80    0.71   -9.13    0.33    0.00   -8.79 3.528E-01

  10.589 30.762  9.35    0.64   -4.96    0.31    0.00   -4.65  0.897
   3.138  0.669  5.51    0.68   -9.92    0.33    0.00   -9.59 2.947E-01

  10.589 30.988  9.58    0.62   -5.62    0.32    0.00   -5.30  0.932
   3.169  0.688  5.23    0.65  -10.72    0.34    0.00  -10.38 2.455E-01

  10.589 31.202  9.79    0.60   -6.23    0.33    0.00   -5.90  0.973
   3.195  0.705  4.97    0.63  -11.46    0.36    0.00  -11.10 2.061E-01

  10.589 31.512 10.01    0.59   -6.80    0.35    0.00   -6.45  1.020
   3.206  0.723  4.72    0.63  -12.13    0.38    0.00  -11.75 1.706E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

