EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7.inp                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 23.923  5.42    1.63    5.86    0.82    0.00    6.69  0.838
   2.979  0.380  9.74    1.77    3.06    0.89    0.00    3.96 3.578E+00

  10.589 24.188  5.59    1.52    5.14    0.75    0.00    5.89  0.836
   3.009  0.393  9.51    1.65    2.18    0.81    0.00    3.00 3.251E+00

  10.589 24.528  5.82    1.40    4.27    0.67    0.00    4.93  0.833
   3.044  0.411  9.22    1.51    1.13    0.72    0.00    1.85 2.869E+00

  10.589 24.901  6.06    1.28    3.36    0.59    0.00    3.95  0.830
   3.080  0.430  8.91    1.38    0.02    0.64    0.00    0.66 2.494E+00

  10.589 25.372  6.32    1.19    2.55    0.54    0.00    3.09  0.828
   3.096  0.450  8.62    1.28   -0.95    0.58    0.00   -0.37 2.131E+00

  10.589 25.913  6.60    1.12    1.80    0.49    0.00    2.29  0.824
   3.100  0.470  8.33    1.20   -1.86    0.53    0.00   -1.33 1.794E+00

  10.589 26.399  6.87    1.05    1.07    0.45    0.00    1.52  0.822
   3.109  0.489  8.05    1.12   -2.74    0.49    0.00   -2.25 1.519E+00

  10.589 26.720  7.11    0.98    0.30    0.41    0.00    0.72  0.822
   3.142  0.508  7.75    1.04   -3.66    0.45    0.00   -3.22 1.312E+00

  10.589 26.944  7.31    0.91   -0.38    0.38    0.00    0.00  0.823
   3.181  0.526  7.47    0.97   -4.50    0.41    0.00   -4.09 1.154E+00

  10.589 27.266  7.53    0.87   -0.99    0.36    0.00   -0.63  0.824
   3.199  0.543  7.22    0.92   -5.23    0.39    0.00   -4.84 1.003E+00

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

