EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin11.inp                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.344  7.61    0.99   -0.17    0.42    0.00    0.24  0.818
   2.997  0.534  7.52    1.05   -4.19    0.45    0.00   -3.74 9.200E-01

  10.589 28.618  7.82    0.94   -0.80    0.39    0.00   -0.40  0.820
   3.023  0.551  7.26    0.99   -4.94    0.42    0.00   -4.52 8.035E-01

  10.589 28.939  8.07    0.88   -1.49    0.37    0.00   -1.12  0.823
   3.051  0.570  6.96    0.93   -5.78    0.40    0.00   -5.39 6.836E-01

  10.589 29.247  8.32    0.83   -2.18    0.35    0.00   -1.83  0.830
   3.080  0.590  6.66    0.88   -6.61    0.38    0.00   -6.24 5.779E-01

  10.589 29.632  8.57    0.79   -2.81    0.34    0.00   -2.47  0.840
   3.096  0.610  6.37    0.84   -7.37    0.37    0.00   -7.00 4.821E-01

  10.589 30.084  8.85    0.76   -3.40    0.33    0.00   -3.06  0.852
   3.101  0.630  6.09    0.80   -8.07    0.36    0.00   -7.71 3.959E-01

  10.589 30.506  9.11    0.73   -3.99    0.33    0.00   -3.65  0.871
   3.109  0.649  5.80    0.77   -8.77    0.36    0.00   -8.41 3.242E-01

  10.589 30.762  9.35    0.70   -4.59    0.34    0.00   -4.25  0.897
   3.138  0.669  5.51    0.74   -9.49    0.36    0.00   -9.13 2.702E-01

  10.589 30.988  9.58    0.67   -5.18    0.35    0.00   -4.84  0.932
   3.169  0.688  5.23    0.71  -10.21    0.37    0.00   -9.84 2.248E-01

  10.589 31.202  9.79    0.65   -5.72    0.36    0.00   -5.35  0.973
   3.195  0.705  4.97    0.69  -10.84    0.39    0.00  -10.46 1.887E-01

  10.589 31.512 10.01    0.64   -6.20    0.39    0.00   -5.82  1.020
   3.206  0.723  4.72    0.68  -11.42    0.41    0.00  -11.01 1.564E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

